srxname,sraname,samples,library_layout
SRX8556273,SRR12024665,RNApolymeraseII_SRX8556273_tech1,single
SRX8556273,SRR12024666,RNApolymeraseII_SRX8556273_tech2,single
SRX8556273,SRR12024667,RNApolymeraseII_SRX8556273_tech3,single
SRX8556273,SRR12024664,RNApolymeraseII_SRX8556273_tech4,single
SRX8556273,SRR12024665,RNApolymeraseII_SRX8556273_tech5,single
SRX8556273,SRR12024666,RNApolymeraseII_SRX8556273_tech6,single
SRX8556273,SRR12024667,RNApolymeraseII_SRX8556273_tech7,single
SRX8556273,SRR12024664,RNApolymeraseII_SRX8556273_tech8,single
SRX9195301,SRR12716556,Tbp_SRX9195301,single
SRX11221932,SRR14907447,Taf12_SRX11221932,single
SRX017058,SRR036737,Nelfa_SRX017058,single
SRX9195310,SRR12716565,Med1_SRX9195310,single
SRX1670201,SRR3313261,Med12_SRX1670201,single
SRX5926394,SRR9153306,Med24_SRX5926394,single
SRX4167136,SRR7262971,Med26_SRX4167136,single
SRX2894853,SRR5658441,Dr1_SRX2894853,single
